job_id,job_title,skills_required,job_location,education_required,work_experience_required,job_type,work_type,soft_skills_required,companyHR_id
1,AI Engineer,"machine learning, neural network, deep learning, artificial intelligence",Faisalabad,Intermediate,2,Full-time,Remote,Adaptability,284
2,Quality Assurance Engineer,"testing, Selenium, J metre, Selenium, JUnit",Hyderabad,Intermediate,1,Internship,Onsite,"Problem Solving, Adaptability",215
3,AI Engineer,"NLP, artificial intelligence, artificial intelligence, NLP, deep learning, neural network",Sialkot,Masters,3,Contract,Remote,"Adaptability, Problem Solving, Communication, Teamwork",51
4,System Administrator,"administration, security, networking, networking, networking, Linux",Nawabshah,PhD,6,Contract,Remote,Problem Solving,86
5,Computer Vision Engineer,"CNN, OpenCV, image processing, image processing",Hyderabad,Masters,5,Contract,Remote,Adaptability,453
6,Data Scientist,"analytics, statistics, python, python",Nawabshah,Intermediate,2,Part-time,Remote,"Adaptability, Communication, Problem Solving, Teamwork",59
7,Frontend Developer,"CSS, JavaScript, CSS, CSS, MERN",Rawalpindi,PhD,7,Contract,Remote,Teamwork,228
8,Database Administrator,"SQL, PostgreSQL, Oracle, NoSQL, NoSQL, MySQL",Hyderabad,PhD,7,Contract,Remote,"Adaptability, Teamwork, Problem Solving",391
9,Game Developer,"development, game, game",Sukkur,Bachelors,4,Full-time,Remote,"Adaptability, Teamwork, Communication",64
10,Blockchain Developer,"hyperledger, ethereum, smart contract, ethereum, solidity, hyperledger",Faisalabad,Masters,10,Part-time,Onsite,"Adaptability, Communication, Problem Solving",259
11,Backend Developer,"frontend, MERN, CSS",Sialkot,Masters,5,Contract,Onsite,"Adaptability, Communication, Problem Solving",80
12,IT Consultant,"ITIL, analysis, TOGAF, consulting, analysis, TOGAF",Multan,PhD,4,Contract,Onsite,Adaptability,59
13,Cybersecurity Analyst,"IDPS, vulnerability assessment, incident response, penetration testing",Hyderabad,Masters,1,Internship,Remote,Adaptability,165
14,DevOps Engineer,"linuxCI/CD, Kubernetes, DevOps, DevOps, Kubernetes, linuxCI/CD",Quetta,Masters,0,Full-time,Remote,"Communication, Adaptability",211
